-15025max;-19788mean;2890std;poly;Depth: 1, n_estimators: 1, lr: 0.010000
-20523max;-29447mean;6127std;normal;Depth: 1, n_estimators: 1, lr: 0.010000
-3717max;-4897mean;0718std;poly;Depth: 1, n_estimators: 1, lr: 0.020000
-5090max;-7312mean;1527std;normal;Depth: 1, n_estimators: 1, lr: 0.020000
-1635max;-2154mean;0317std;poly;Depth: 1, n_estimators: 1, lr: 0.030000
-2244max;-3227mean;0677std;normal;Depth: 1, n_estimators: 1, lr: 0.030000
-0910max;-1199mean;0177std;poly;Depth: 1, n_estimators: 1, lr: 0.040000
-1252max;-1803mean;0380std;normal;Depth: 1, n_estimators: 1, lr: 0.040000
-0576max;-0759mean;0112std;poly;Depth: 1, n_estimators: 1, lr: 0.050000
-0795max;-1146mean;0242std;normal;Depth: 1, n_estimators: 1, lr: 0.050000
-0395max;-0521mean;0077std;poly;Depth: 1, n_estimators: 1, lr: 0.060000
-0547max;-0790mean;0168std;normal;Depth: 1, n_estimators: 1, lr: 0.060000
-0287max;-0379mean;0056std;poly;Depth: 1, n_estimators: 1, lr: 0.070000
-0399max;-0576mean;0123std;normal;Depth: 1, n_estimators: 1, lr: 0.070000
-0217max;-0287mean;0043std;poly;Depth: 1, n_estimators: 1, lr: 0.080000
-0302max;-0438mean;0094std;normal;Depth: 1, n_estimators: 1, lr: 0.080000
-0170max;-0224mean;0034std;poly;Depth: 1, n_estimators: 1, lr: 0.090000
-0237max;-0343mean;0074std;normal;Depth: 1, n_estimators: 1, lr: 0.090000
-0136max;-0179mean;0027std;poly;Depth: 1, n_estimators: 1, lr: 0.100000
-0190max;-0276mean;0059std;normal;Depth: 1, n_estimators: 1, lr: 0.100000
-0111max;-0146mean;0022std;poly;Depth: 1, n_estimators: 1, lr: 0.110000
-0156max;-0226mean;0049std;normal;Depth: 1, n_estimators: 1, lr: 0.110000
-0092max;-0122mean;0018std;poly;Depth: 1, n_estimators: 1, lr: 0.120000
-0130max;-0189mean;0041std;normal;Depth: 1, n_estimators: 1, lr: 0.120000
